,Comp/ pessoa 2005,Internet 2005,IDH 2005
Afghanistan,0.28,338045.041222983,0.405
Albania,1.73,189886.963166664,0.696
Algeria,1.07,1921981.91452109,0.686
Angola,0.59,188529.996138429,0.439
Antigua and Barbuda,14.85,29132.6166590849,0.773
Argentina,9.03,6854529.68701254,0.782
Armenia,9.85,161054.053198692,0.692
Austria,61.01,4774673.68,0.854
Azerbaijan,2.31,689640.765819561,0.682
Bahamas,12.38,79839.5,0.788
Bahrain,17.62,154410.951768347,0.81
Bangladesh,1.59,339712.894889024,0.506
Barbados,14.84,151673.343836747,0.766
Belgium,37.95,6228738.4029,0.865
Belize,15.2,25876.0295154325,0.692
Benin,0.38,97027.4514828234,0.434
Bolivia,2.4,478149.069348475,0.625
Bosnia and Herzegovina,5.43,806362.778106268,0.697
Botswana,4.87,61194.845164623,0.61
Brazil,16.09,39099569.357487,0.698
Brunei,8.83,132417.856431804,0.837
Burkina Faso,0.6,66720.6348035546,0.325
Burundi,0.73,39313.07788194,0.29
Cambodia,0.31,42386.4917271688,0.483
Cameroon,1.23,246216.157880964,0.456
Canada,87.69,23134293.7558,0.891
Cape Verde,10.85,28723.3253322945,0.596
Chad,0.16,39070.9672576745,0.303
Chile,14.11,5082119.6524398,0.796
China,4.83,111449553.617982,0.646
Colombia,4.15,4737587.79898584,0.669
Comoros,0.68,20860.1002817687,0.451
"Congo, Rep.",0.48,51705.2209559411,0.507
Costa Rica,23.11,951087.4491,0.727
Cote d'Ivoire,1.78,187280.55575965,0.413
Cuba,3.35,1095945.08697787,0.732
Cyprus,33.4,338783.5922,0.829
"Congo, Dem. Rep.",0.02,136682.54656671,0.364
Denmark,69.46,4484047.9656,0.902
Djibouti,2.4,7708.68026436753,0.405
Ecuador,6.55,804812.794818024,0.693
Egypt,3.65,8680587.57398362,0.636
El Salvador,5.09,254121.546,0.651
Equatorial Guinea,1.79,6987.7202463178,0.569
Eritrea,0.57,80233.0899984396,0.405
Estonia,48.88,827029.1265,0.822
Ethiopia,0.39,163127.862654644,0.346
Fiji,5.9,69535.6417397101,0.695
Finland,50.01,3905985.9216,0.869
France,57.86,26149202.1222,0.87
Gabon,3.25,67073.3989712459,0.646
Gambia,1.65,57124.7443442205,0.415
Georgia,4.7,272177.682804265,0.714
Germany,60.47,56713741.7669,0.892
Ghana,0.58,396267.578047314,0.51
Greece,9.17,2683947.36,0.85
Guatemala,2.08,724877.778,0.57
Guinea,0.48,49027.6298026368,0.356
Guinea-Bissau,0.19,26004.8783601539,0.388
Haiti,0.19,596000.27247635,0.455
Honduras,1.43,447150.795,0.583
Hungary,14.42,3930878.9592,0.802
Iceland,48.21,258166.41,0.884
India,1.54,27225078.6001055,0.536
Indonesia,1.47,8187516.64966796,0.632
Ireland,52.99,1730161.2762,0.896
Italy,36.99,20534922.1,0.856
Jamaica,6.75,343251.584,0.709
Jordan,6.23,690873.214941044,0.733
Kenya,1.44,1104727.71469376,0.483
Kuwait,22.33,586970.723127311,0.787
Latvia,24.53,1060542.88,0.807
Lebanon,11.45,410915.388,0.733
Lesotho,0.28,53301.4726946574,0.437
Libya,2.22,226044.965515821,0.752
Lithuania,17.95,1237183.9256,0.807
Luxembourg,62.38,320037.9,0.88
Madagascar,0.55,101542.534199987,0.478
Malawi,0.19,49301.4793684854,0.377
Malaysia,22.09,12692330.6305021,0.732
Maldives,13.67,20281.821999699,0.622
Mali,0.44,66813.8941384008,0.35
Mauritania,2.56,20415.5467060428,0.466
Mauritius,16.87,190675.771068636,0.713
Mexico,13.08,18325854.5797,0.723
"Micronesia, Fed. Sts.",5.43,13000.475254764,0.622
Morocco,2.37,4584535.72916286,0.575
Mozambique,1.43,177450.084497359,0.353
Myanmar,0.79,30219.3959436325,0.474
Namibia,12.26,83407.0052811582,0.57
Nepal,0.49,225499.261761145,0.476
Netherlands,85.54,13207420.17,0.893
New Zealand,51.56,2592926.96198103,0.888
Nicaragua,4.01,139207.510756678,0.597
Niger,0.07,28760.8384563044,0.286
Nigeria,0.91,4962548.06665953,0.466
Norway,59.41,3790642.0302,0.931
Oman,5.06,162378.278962027,0.748
Panama,4.56,371889.084101368,0.744
Papua New Guinea,6.64,104609.309238237,0.454
Paraguay,7.47,466340.774771665,0.648
Peru,10.01,4712549.499,0.693
Philippines,5.44,4617485.0222518,0.646
Poland,13.88,14811852.024,0.803
Portugal,15.31,3689227.6837,0.793
Qatar,17.84,203058.521253299,0.835
Moldova,8.27,551104.146511252,0.648
Romania,12.9,4680926.035,0.755
Russia,12.15,21902527.7381093,0.754
Rwanda,0.21,51165.3899961522,0.404
Samoa,1.89,6042.61144574947,0.677
Sao Tome and Principe,3.83,21000.0,0.521
Saudi Arabia,12.82,3054432.43978533,0.767
Senegal,2.14,520403.889765857,0.422
Seychelles,19.84,21223.3826270058,0.728
Singapore,68.43,2602259.39,0.839
Slovak Republic,35.72,2988812.2424,0.793
Slovenia,41.08,937175.5204,0.858
Solomon Islands,4.6,3966.59919241981,0.47
South Africa,8.36,3578983.18073348,0.609
Spain,27.87,20777737.1508,0.844
Sri Lanka,3.54,355587.530221589,0.718
Sudan,8.97,496276.958945563,0.43
Suriname,4.45,31970.2256487627,0.678
Swaziland,4.07,40848.0556211702,0.502
Sweden,83.48,7659593.3635,0.892
Switzerland,88.66,5197919.907,0.904
Syria,4.2,1044002.81275681,0.636
Tajikistan,1.3,19275.1840843095,0.579
Thailand,6.86,10022116.9628941,0.686
"Macedonia, FYR",22.17,539079.8305,0.703
Togo,3.01,216321.76,0.436
Tonga,5.86,4953.22883027906,0.695
Trinidad and Tobago,9.88,381155.618599712,0.751
Tunisia,5.62,957023.184859522,0.689
Turkey,5.56,10534936.5556,0.687
Uganda,1.04,495330.0007265,0.434
Ukraine,3.89,1759536.71660657,0.716
United Arab Emirates,23.36,1627739.6,0.823
United Kingdom,76.52,42141908.9,0.89
Tanzania,0.93,1669734.032,0.446
United States,77.26,201742975.847746,0.898
Uruguay,12.99,667435.923637213,0.756
Uzbekistan,2.82,867554.352837635,0.626
Vanuatu,1.42,10732.3643016873,0.572
Venezuela,9.25,3347146.67733448,0.714
Vietnam,6.9,10594671.0703391,0.618
Zambia,1.12,326878.253084824,0.479
Zimbabwe,6.53,1007663.43537246,0.408
